id,date,name,type,elapsed_time_seconds,moving_time_seconds,distance_meters,total_elevation_gain_meters,summary_polyline,distance_miles,total_elevation_gain_feet,year,month,month_name,weekday,weekday_name,week,pace_min_per_mile,pace_min_per_mile_str,month_cumulative_miles,total_cumulative_miles
5513680210,2021-06-22 18:31:25,Cressona Loop,Walk,1916,1806,2764.6,31.2,gy}vF`v_pMMJAD?r@Kd@CbAKb@OhAIdAEJ?p@CRIJG^?TMh@?n@ERMT?NBZAJYh@_@f@q@b@EQOUI[YYM]OS[o@_@kAm@eAKMEOC[Ba@As@By@IiABg@Ia@Ao@Ig@DGDQ@a@Ek@EWBa@Ee@@YEa@@i@Ig@Oe@Ac@Qs@IMCa@Su@Ow@KW?G?@D@?EJIHQVOLU^[R[NCFGFOLQNKZi@^KDSGUBQ\QZa@|@{@PKDIGa@Q_@Cc@Ig@_@uB@WCM?YGe@Oa@Km@GMCWMe@DKPOv@QJMGYKoAI[KoA?MDIJGRCTK`AU`@UREXOHDJNJd@@AECDLD`@XvAD^JVLd@Bn@JLFXHh@Lf@PfABVLp@Vn@@LFR@XH^Nd@TXLBZGD?Jf@Iv@G`@w@`CKx@M^Mj@K`AD^Eh@WbAGPGVEh@Ux@IhA@XEp@ELCp@@lB,1.7178470677420559,102.362208,2021,6,June,1,Tuesday,25,17.52193228676843,17:31,1.7178470677420559,1.7178470677420559
5518620096,2021-06-23 15:39:07,Morningside Loop,Walk,3825,3748,6391.4,126.5,a~|vFnycpMFNNET?PKNGBG?MCECOAUY_B?w@M[Ce@EKAUSu@Io@KQGWImAYcAQeAGGCKAQ@_@KQGg@Q_@U_A?QEGG[Me@CQKe@Co@c@mBIo@GQC_@So@WaAEi@W}@O_@Q}@Ka@EYKYEg@Ic@KUUcAKOM?E@ULIJYJS?SEWFIIWA_@JGBM@OEOUWo@EGICO]Og@S[EUEKEa@Q]K_@O[CM]{@Ig@Ue@Me@Ue@IIBEAGUc@I[KMAWQSc@gAKQMUE]@WUy@OSKYCQWc@Ko@]u@CWUi@UgAYc@AWEOOU?CJQNOV?RWZKZWBGEOBIJKp@a@DI@SAEIM]u@SWUq@Qq@c@cAY}@?QCOC]Oi@CYFgACU@]Ia@Bs@?[GW@GGQ@iBDa@Ac@MgA?{@Ou@A]Gi@{@wBUYKYCS@KBKLOFO`@_@F[J@FCd@i@NIHKNGLC`@m@TM@B@g@BONSf@c@NWT[NOFAJQJ?DE@IGYO_@?_@Mg@S_BQ]Ba@Y}@Hg@EQGo@IOEOA]BOJGh@ADEBM@[MgBWwA@QLI~@MnAo@ZGTIL~@Xv@PnAFR@`@Jb@@XANCH?^LRPp@?RZv@JdADTXz@V`@XdAD@d@KJ?NEDBDJJ|@L`@ARWz@?ZMZEf@a@hBIXYPI`@Qb@?JHVAVOx@Qh@K~@S~@Il@CjAM^?d@GrAB^Gh@KZEx@ET@ROh@A^BPIZGx@I\?XCPM`@ArAEVIR?PQl@Cb@?LMXALHPNDABd@ZJb@DA\Vn@|@BHHLPl@LRJj@DHLDDJLRRn@Nj@Fn@NVLh@LHFJBXDFDVJ\Hj@Rl@@^Fb@An@DFD`@AfAN|AA`AJ~@ENBTAR@JN\Bv@F~@?NDR@NHT@d@J`@\p@FXFr@Hd@L\R^Pj@Hl@HJ@b@J\BTFLH|@@FJJF\R^Pr@Bb@CRDZV`@JTBb@FZBDH@@DC`@BFF?FHLr@CNBRPd@LJD^@h@HVJl@NT@\Nr@@XJX@\Px@BFHJDNBl@A`@PXVnABhBH\PZ?t@HZJ~@CNMNIDc@JO@GC@EGSb@N,3.971441709023575,415.02626,2021,6,June,2,Wednesday,25,15.728964754722492,15:44,5.689288776765631,5.689288776765631
5523664482,2021-06-24 14:41:45,Cressona Loop,Walk,3425,3344,5572.8,63.0,ov}vFf~~oMJl@F?BF@PUv@BRYzBKFEREAIP@|@QzACt@CR?j@EVKtAUnABNAPGTQ~BE@CNE^Cb@M`AAt@WxA?PMvAIREv@Yv@[X]RG@?@GEE@ACGBGIAc@OKm@{AS[Ss@[o@a@sAE{@Dw@OoBPQAEBEMe@?MDIGcA?MDE?UGMIk@?GEuBIuAWcB_@sAOu@a@qAL_@ZSL]TGDEZo@L]b@KNWh@c@Pg@DIt@YPEv@o@`@O?e@?LCJ@EE@@IISGcABSMY]eAI{@B]EEBEQ_AKSEe@Om@QmAHIDAFI\OFEBO?]Ku@AWGOIy@Fm@REHMJGx@SXCDEACRCb@U`@vA?x@D`@R`@\vALXFb@LNLTDXCJJFBD?PEb@?Pf@fBBl@T~@GTARQHG?EDA`@B`@Kd@BN?THVFb@?h@Ef@?d@BLAjAHZEr@BH?JK~@Kb@a@hCMlAIb@CxAYnCAb@O~@ShCOnAQnBK`@A~@KRCFExAKb@Ep@Md@KLKRI?[JKHEFAJGFE@M?GE@UAc@?AE@EGW}@cAwBw@gCC]C{CEs@?_BMgCAoACS@c@MwBMcAU_AOwAEOY]Mc@FQ?GPCLKD[\Md@y@l@WVg@b@c@Tw@NYPk@BCVEXWj@]@G?i@M_@WsAO_AAM@g@YuACw@AIGGKYM{@@ENMh@OJMOoCMw@Ce@XINMhA]`@WZELEDA?EJzA\tAVv@PtAZh@DDFPBz@t@xDFv@DVNb@FFPHR@T@PCHNBNDl@E`AMv@Qh@Mz@Mb@QNCHU|A?N_@O,3.4627859868020434,206.69292,2021,6,June,3,Thursday,25,16.0949401856637,16:06,9.152074763567674,9.152074763567674
5564684444,2021-07-02 14:42:41,Cressona Loop,Walk,2041,1980,2730.1,31.3,ey}vF~u_pM@GEB?DE?ABCRB@@DM`@E|@WpBITCv@Q`BOhAOr@@VIj@KZ@d@AJm@|@YVMFE?QIKKKe@QO_@q@_A}Bi@oBK}@@o@I}C@{@Ei@C}AE]EmCI{AGc@AYGYOg@ScAg@mAEWDQ?YPIRQL[NABCFYVc@XIPMTYDMNEPQ^{@Jy@FMr@MPU`@W@IGcAKk@Aq@WuACUOk@]_CQq@ASJQVSXKDE?i@SsAAaAE_@BIp@[b@Mj@UJKn@MBBLf@PZBj@HPFr@Pd@J`AH`@Tp@Hb@Pd@HpAXdAD^b@rBDFN@`@?XCDFF`@BtAU~AgArFSr@Kz@UfAIP_@tBCXAt@SfAA`AELNfACdA,1.6964097083276375,102.690292,2021,7,July,4,Friday,26,19.45284788103,19:27,1.6964097083276375,10.848484471895311
5580421126,2021-07-05 13:45:13,Cressona Loop,Walk,3108,3040,4112.7,44.5,ox}vFzt_pMF@EB@FAJYP_@|@Cv@SvA?l@Et@WvAU`BCz@EX@NKRGx@GLGZGPYVIH[NKGSDEG?KBa@Mc@Yg@o@_A]cA[a@YcAImBFqACUBWCGBEAM@ACIBCCOGSCg@AWDE?ICM?WOsBAe@Bg@OkA@IAG@GAG@EUiA_@uA[aAKSI[@OCQDM\SFSPSR[H[DGh@WNS^]b@IJGH]PQ?Y`@u@TOTSh@YCk@EY@IISIaA]aB@_@I]M]GWIi@Qu@Ei@BGFEHSFIXKHIBe@E[Ko@KaBBQXMRERM@@@J@ADGH[JIT?FIHADCb@GXb@FNB\JTJt@Df@b@rBFFJXLNBp@Hl@DJBXBDr@fDNd@Hp@DBXENBNCD@LRDJBN?~@MfACDSbAKx@Oh@c@rBWbAAPWvAOZIb@EF?HIPGr@?`@Ol@@j@Cz@Kf@A^KlA@TI`@E`@?\S`BK^Aj@EFK`AA^Ef@[lBK~AKb@Cv@Md@KZEBO?S\SJCA]]k@kAq@gAe@iAOa@_@eBGk@?q@Fw@?SCI@C?O@ACYBECI?IGKCM@_@C_@@UAK@CCIBC?QE[EiABy@Ee@CcAF_@`@Up@K`@MfASLLJDPd@FHJB`AKJFTEv@ADBl@QD@Nl@Bb@Ap@Gd@JtA?^@NA@CCA@?A,2.55551965401966,145.99738,2021,7,July,0,Monday,27,19.826365485771717,19:50,4.251929362347298,13.404004125914971
5606476349,2021-07-10 13:00:02,Stoyer's 8 Loop,Walk,3416,3416,5024.1,16.7,m_}vFlv}oMNpBAp@RrB?d@Pz@AFEFWRSDO@OFI@g@[I[GiAG_@Ok@@UG]?a@ScA?]Ko@@KGOGY?IIa@@k@B[C_AG[B[KWI}@De@E]@YUkBEeAL?JHRHtALNFZxA@\Hd@@^J|@A`@@XFXFj@ARGN?ZHh@@`@Fj@?b@@VDPFx@NfABpAFl@AJD~@DRCJIJ_@Jk@FOE[WGYEgASq@Em@@a@MeAAk@K[G[CqAQeAFa@UqA@SGs@@OEU@y@Km@EcAMsA?UDAz@XJAhAPHF@HFx@Jf@FlAF\EZHdA?^LZIjAH\Bn@H\@PCLFh@?t@Dv@F^ANNv@Jr@BxALBHLB@BCLFHCLKvAa@BGBc@Em@?_@ES@IG_@Ae@@WE}@EYEIGw@KeCKe@Ba@Ag@Mu@@]Ek@Kk@IOmAN{@NEJHZEHI?EBAJBVHLAl@HvAEV@PPx@Ap@BH?d@DV?b@JbA?^DPHpBH`@@|@FLH?PJPBH@RGb@WPAf@OFk@AYGm@Aq@EECe@Aa@MaA?i@OwAAg@G_@E}BKeAAc@WyACEGAQ?[N[FU?c@JKTCX?h@D`@DV?\D^Ih@?JPz@@b@Nd@@b@Hd@Br@FR@l@CZFVJ~AFVBz@CPCFID[JS?QBSAMMG[?MGICe@M[I[IeCI]UoBGU?{@E_@Ie@Ce@@[Cc@?YK[?QIu@Bi@?SIsAOaA?s@ZN^FJF|@FJFFN@h@BRFN@^HZ?b@DPBdAH^Dj@Bl@ET?b@Fl@Nr@?`@BL,3.1218387662022944,54.790028,2021,7,July,5,Saturday,27,18.237115237886716,18:14,7.373768128549592,16.525842892117264
5617571082,2021-07-12 15:39:34,Cressona Loop,Run,2219,1901,3793.7,31.4,ex}vFtt_pMIVKJODEFCt@ERIrASdBAd@Kj@A^Ol@I~@Sv@?XCZIVAv@Qd@MRw@r@GLEGQc@?IEEIKMGKOa@cAu@wAq@sBGeAAcA@s@KmCAiAOqBAuCGaAKiA_@_AMo@e@kACQCw@?GFM^YJWv@gARIVQ`@k@HED@REIDJMDUFQhAcB\Sv@UVDd@O^FVNt@~@NLTj@Jb@LTJHDCL@NNDx@SHFDRj@H`@AL[rBCVKXG\QfBAh@M`AIvBOvAMp@Cf@EZOhBMf@IdBMpAKf@Ej@Mj@Ep@Oh@BZAJQd@QZQFST]LI@GAIG?GGGYO[k@_@eAe@_Ag@eBIoA@eACsAE_@C}@Au@Ca@AqAGoB@c@GwAKw@UgAgAaDB_@`@e@@MVo@@_@JUVWPKX_@LCHMZOH@G?VYLYDURKx@UvA_@\@jBv@f@NPVVj@JFD@FEB@HJDN?ZCXF\LXDn@y@hFIjAQvAAf@BXKf@EZDv@?d@D@,2.357301751028372,103.01837599999999,2021,7,July,0,Monday,28,13.440508123116395,13:26,9.731069879577964,18.883144643145638
5643419431,2021-07-17 14:25:30,Cressona Loop,Run,2452,2271,4810.4,51.3,mx}vFhu_pMCNOBET?FKV?PSdAIr@@RIz@GVGl@K`@CVEXGv@I\Ex@Mn@At@]`AWT_@`@G@SOa@k@So@yA{Ck@sBIyBBm@Ey@@k@GyCEs@EsCG{AM_Aq@cCc@oAGW?MFYHE^MFGJUPQZw@l@]L[RQPGFBBEHS?UJc@L]T_@ROx@]NOSiBaAmF?m@Sy@Kw@H]LUf@KDGK{BIc@Gq@@M\W~Am@XUd@ILJFLFTJfAPd@Fx@RlABVTt@D^TjADZd@tBZlBDJLF^@^CFBJNBHBfAG~@WlAKv@i@dCSn@MdAw@tDSxAI\Gr@OvCMvACj@QzAAp@UfBKd@E`@?\SrAGp@Q`A?b@Mf@Iv@Sz@OHKTOPOHCAIMc@[e@w@c@iAi@iAk@oBEWGsACuD@YIkBEaEIkAE_@a@{Be@qAQm@Q[?UHUh@_@P[b@g@^o@ZOZWJ]JCDEFQFc@RWdAg@l@OVQJSfAa@j@QvBg@v@c@n@Gp@MFB@NFX@j@C`@K|@e@hBWpA[fAAP@RQd@C\k@bCOx@MhAMb@@NCr@K`A?`@Fn@ARFL@XADBB,2.9890514123802303,168.30709199999998,2021,7,July,5,Saturday,28,12.662880217861302,12:40,12.720121291958193,21.87219605552587
5653238171,2021-07-19 12:10:20,Cressona Loop,Run,2361,2124,4200.1,39.9,kx}vF`u_pM@HCHQDIDMt@OdAKrACn@If@QbBQzAUx@C^SnAAXIb@Wh@WJQPMBOI?IEK?GMEMMc@oAYm@Sk@Yi@Ws@Kg@Eu@?gAKqD?g@IgC@YOwBAkA[}Bo@kBYcA?IDe@HWT_@`@YNu@DGt@a@Z]Zk@ZSLMNg@?QTWb@KPM`@IXCPElDeALAFBPAb@_@PIxAML@DDJTFf@I\IdAS`AIn@s@|Ce@jCQt@Y|AM`BQxAOhCQ|Aa@zECXUv@AhAQbAIv@Oh@E~@M\AN@d@KNUt@?FQCIBOLU?KBE?GIEQU]mAoCs@iBI[ImAEkGEcBEm@AuAEYEsAc@uCc@{AEc@?a@EOQY?UJQRSHUDGTMf@gAnAgAJON]X[Xe@nAa@j@EJMf@YbBm@xASAEE@BC\ENOp@OT?l@GJDJb@?d@Eb@Y|AMd@[lBS|@Sn@QjAu@xDM~AEXI|@EjAi@zE@NAT,2.6098276312028537,130.905516,2021,7,July,0,Monday,29,13.564114187757433,13:34,15.329948923161048,24.482023686728724
5675475441,2021-07-23 14:15:02,Cressona Loop,Run,1808,1711,4067.4,39.9,wx}vFdu_pMB?@@EFAPKBIJI`@C?Oj@g@dFMr@Gj@Cl@Ml@Cp@SxAIPO|@e@b@GA[IMIs@gAKM}@gB_@uAUm@AOA}CEy@DeAQoCCmC]cD_@mBo@qBAm@DKJGNm@\c@^u@\UHIXk@HARSp@g@^q@PINMlAa@n@_@r@Y~Bk@nAg@zAUDBJNFv@ATWhBAXGf@Mp@g@jBIj@_AzDY~BWfA?TIj@@f@I|AGp@GhAOpAGbAUnBGt@K`@Gp@Qj@MbCMZAZa@bA?FCAC@S\MJI@QMm@w@i@kAm@gAUk@W_AIu@CiAK_BAm@Bw@IaCAwAWyEKcAUcAk@cBQOE[@I@IPMZMHm@XQV}@HIXKTQ@GHKJCLMRWDKNQ`Ae@h@U`@IdA}@p@YfA]n@KjAc@tAS\BDHDRIT?\CDOn@Iv@sAjFWhB]`B]rBC|@OlAAtABh@A^,2.5273714690494242,130.905516,2021,7,July,4,Friday,29,11.283132304010751,11:17,17.85732039221047,27.009395155778147
